detector,dataset,sample_index,duration,n_onsets,n_segments,n_truncated,mean_window_frames,root,thirds,triads,majmin,mirex,underseg,overseg,seg
superflux,broken_sustain,12,21.184,10,10,6,172.4,0.9918421551887688,0.9918421551887688,0.9918421551887688,0.9923701885571857,0.9918421551887688,0.727565926769114,0.9999525706697022,0.727565926769114
superflux,broken_sustain,13,20.405333333333335,10,10,4,167.9,0.9938380858734839,0.9928056374959027,0.9928056374959027,0.9928056374959027,0.9928056374959027,0.7558997050147492,0.9982956407735168,0.7558997050147492
superflux,broken_sustain,14,21.781333333333333,10,10,4,182.0,0.9903417191739868,0.9903417191739868,0.9903417191739868,0.9900222929247017,0.9903417191739868,0.7229453157337995,0.9971178463566818,0.7229453157337995
superflux,broken_sustain,15,19.744,10,10,5,166.1,0.9897912539996953,0.9888093182318385,0.9888093182318385,0.9868573279651999,0.9888093182318385,0.7239744696700359,0.9941930350280189,0.7239744696700359
superflux,broken_sustain,16,18.730666666666668,11,11,8,151.8181818181818,0.9630304329189886,0.9630304329189886,0.9624946420917274,0.93162299053072,0.9624946420917274,0.7304614944992143,0.9978568366909559,0.7304614944992143
superflux,broken_sustain,17,20.88533333333333,10,10,5,168.5,0.9916022841787033,0.9916022841787033,0.9916022841787033,0.992826933467479,0.9916022841787033,0.6921317401666747,0.9950893357006894,0.6921317401666747
superflux,broken_sustain,18,19.989333333333335,10,10,6,172.6,0.9941922742183843,0.9941922742183843,0.9941922742183843,0.992848842406365,0.9941922742183843,0.751288746066814,0.9981421972283593,0.751288746066814
superflux,broken_sustain,19,20.650666666666666,10,10,4,167.8,0.9930710700987531,0.9930710700987531,0.9930710700987531,0.9941872364812312,0.9930710700987531,0.7217257568398898,0.9979601748421563,0.7217257568398898
superflux,normal_no-sustain,0,18.549333333333333,10,10,7,162.4,0.9866940718303764,0.9857204673301602,0.9857204673301602,0.9842713068924074,0.9857204673301602,0.6874188662916486,0.9978544641569307,0.6874188662916486
superflux,normal_no-sustain,1,20.469333333333335,10,10,5,172.9,0.9963528122597846,0.9963528122597846,0.9963528122597846,0.9968014985244482,0.9963528122597846,0.7019282665227419,0.9985443959243087,0.7019282665227419
superflux,normal_no-sustain,2,20.469333333333335,10,10,5,170.2,0.985015425297488,0.985015425297488,0.985015425297488,0.9864621161589961,0.985015425297488,0.715342049850644,0.9973719863539168,0.715342049850644
superflux,normal_no-sustain,3,20.586666666666666,10,10,5,168.7,0.9921803875666536,0.9921803875666536,0.9921803875666536,0.9897398068669527,0.9921803875666536,0.6891500845363504,0.9991546364936923,0.6891500845363504
superflux,normal_no-sustain,4,19.925333333333334,10,10,6,166.2,0.9958299704062418,0.9955777508743611,0.9955777508743611,0.996287588169781,0.9955777508743611,0.6730394135055153,0.9999159268227065,0.6730394135055153
superflux,normal_no-sustain,5,19.925333333333334,10,10,5,163.5,0.9950767886547699,0.9950767886547699,0.9950767886547699,0.9947476920319077,0.9950767886547699,0.6709849783244279,0.9972779514063915,0.6709849783244279
superflux,normal_no-sustain,6,21.482666666666667,11,11,4,164.27272727272728,0.9825773131727956,0.9825773131727956,0.9825773131727956,0.9975720345180633,0.9825773131727956,0.7276616265322631,0.9975732686204966,0.7276616265322631
superflux,normal_no-sustain,7,20.405333333333335,10,10,5,167.9,0.9926140643935669,0.9926140643935669,0.9926140643935669,0.9954266006897585,0.9926140643935669,0.7211522714617928,0.9976089875863876,0.7211522714617928
superflux,normal_no-sustain,8,18.186666666666667,10,10,5,157.9,0.9906149939273491,0.9906149939273491,0.9906149939273491,0.9906149939273491,0.9906149939273491,0.6885282102241361,0.9981229987854698,0.6885282102241361
superflux,normal_no-sustain,9,15.904,10,10,8,139.0,0.9872062388028244,0.9872062388028244,0.9872062388028244,0.988626512708485,0.9872062388028244,0.7110970597533985,0.9992412266835282,0.7110970597533985
