from,to,n,correct,missed,recall
G maj,A♯ min,1,1,0,1.0
G maj,C dim,1,1,0,1.0
G maj,C min,1,1,0,1.0
G maj,D min,1,1,0,1.0
G maj,E maj,1,1,0,1.0
G maj,G dim,1,1,0,1.0
G maj,G min,1,1,0,1.0
G min,A min,1,1,0,1.0
G min,B maj,1,1,0,1.0
G min,C maj,1,1,0,1.0
G min,C♯ dim,1,1,0,1.0
G min,E maj,1,1,0,1.0
G min,F dim,1,1,0,1.0
G min,F min,1,1,0,1.0
G min,F♯ maj,1,1,0,1.0
G min,G dim,1,1,0,1.0
G min,G maj,1,1,0,1.0
G min,G min,1,1,0,1.0
G min,G♯ dim,1,1,0,1.0
G min,G♯ min,1,1,0,1.0
G♯ dim,A dim,1,1,0,1.0
G♯ dim,A♯ maj,1,1,0,1.0
G♯ dim,C♯ dim,1,1,0,1.0
G♯ dim,D min,1,1,0,1.0
G♯ dim,D♯ dim,1,1,0,1.0
G♯ dim,F min,1,1,0,1.0
G♯ dim,G♯ maj,1,1,0,1.0
G♯ maj,B min,1,1,0,1.0
G♯ maj,D maj,1,1,0,1.0
G♯ maj,E min,1,1,0,1.0
G♯ maj,F dim,1,1,0,1.0
G♯ maj,F maj,1,1,0,1.0
G♯ maj,F min,1,1,0,1.0
G♯ maj,G dim,1,1,0,1.0
G♯ min,A♯ dim,1,1,0,1.0
G♯ min,B dim,1,1,0,1.0
G♯ min,B min,1,1,0,1.0
G♯ min,C min,1,1,0,1.0
G♯ min,C♯ dim,1,1,0,1.0
G♯ min,D maj,1,1,0,1.0
G♯ min,D♯ dim,1,1,0,1.0
G♯ min,D♯ maj,1,1,0,1.0
G♯ min,E dim,1,1,0,1.0
G♯ min,E maj,1,1,0,1.0
G♯ min,E min,1,1,0,1.0
G♯ min,F maj,1,1,0,1.0
G♯ min,F♯ dim,1,1,0,1.0
G♯ min,G maj,1,1,0,1.0
